organism,locus_tag,gene_name,product,essential,log_length_bp,gc,upstream_gc,upstream_at_skew,position_norm,operon_run_length,is_hypothetical,is_uncharacterized,is_putative,kw_replication,kw_transcription,kw_translation,kw_atp,kw_membrane,kw_synthase,kw_kinase,kw_dehydrogenase,kw_protease,kw_rrna,kw_chaperone,minus_35_signal_score,TF_CRP_score,TF_ArgR_dist,minus_10_signal_score,TF_ArgR_score,TF_GlpR_dist,minus_35_signal_dist,ribosome_binding_site_dist,TF_PurR_dist,TF_AraC_dist,TF_OmpR_dist,TF_TyrR_present,predicted_tf_count,TF_NarL_present,TF_LexA_dist,TF_FIS_score,TF_FNR_score,minus_35_signal_present,TF_CRP_dist,TF_GlpR_score,TF_Lrp_score,TF_CRP_present,TF_FIS_present,ribosome_binding_site_score,TF_NarL_dist,minus_10_signal_dist,TF_TyrR_dist,TF_AraC_score,TF_AraC_present,TF_FIS_dist,TF_IHF_score,TF_Lrp_dist,TF_TyrR_score,minus_10_signal_present,ribosome_binding_site_present,TF_FNR_present,TF_IHF_present,TF_ArgR_present,TF_LexA_present,TF_OmpR_score,TF_GlpR_present,TF_Lrp_present,TF_NarL_score,TF_OmpR_present,TF_PurR_score,has_promoter_pair,TF_PurR_present,TF_IHF_dist,TF_FNR_dist,TF_LexA_score
ccrescentus,CCNA_00001,,"pyruvate, phosphate dikinase regulatory protein",0,6.810142450115136,0.6479028697571744,0.69,0.0967741935483871,0.0001617639092845,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.4845621585845947,1.6402992010116577,153.0,3.1306910514831543,-0.4059458374977112,154.0,157.0,12.0,167.0,149.0,194.0,0.0,0.0,0.0,149.0,6.708742618560791,1.758973240852356,0.0,101.0,1.9149746894836426,2.0081918239593506,0.0,0.0,3.8722217082977295,200.0,130.0,200.0,1.4909145832061768,0.0,71.0,2.272310495376587,101.0,1.1081734895706177,0.0,0.0,0.0,0.0,0.0,0.0,3.348543882369995,0.0,0.0,4.557210922241211,0.0,3.8168158531188965,0.0,0.0,143.0,159.0,5.734832763671875
ccrescentus,CCNA_00002,,Maf-family nucleoside triphosphate pyrophosphatase,0,6.398594934535208,0.6616666666666666,0.68,0.0,0.000347025634138,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.811399221420288,2.3367395401000977,174.0,3.343662977218628,-0.0054079219698905945,92.0,162.0,65.0,173.0,118.0,197.0,0.0,0.0,0.0,190.0,2.72749400138855,-1.2774524688720703,0.0,99.0,0.7564287781715393,2.330960750579834,0.0,0.0,6.453586578369141,81.0,44.0,188.0,1.5639780759811401,0.0,108.0,2.227222442626953,43.0,1.7164571285247803,0.0,1.0,0.0,0.0,0.0,0.0,-0.3518957495689392,0.0,0.0,1.9322137832641602,0.0,1.590307354927063,0.0,0.0,46.0,94.0,3.3076987266540527
ccrescentus,CCNA_00003,,shikimate 5-dehydrogenase,1,6.755768921984255,0.6864801864801865,0.59,-0.3170731707317073,0.0005263510687424,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.08947229385376,2.949702501296997,81.0,3.1676697731018066,-1.5903704166412354,131.0,32.0,16.0,169.0,101.0,26.0,0.0,0.0,0.0,73.0,9.805603981018066,-0.6755636930465698,0.0,79.0,1.3613016605377197,2.9012765884399414,0.0,0.0,4.954161643981934,173.0,169.0,176.0,4.624166488647461,0.0,77.0,5.804805755615234,36.0,-0.26904332637786865,0.0,1.0,0.0,0.0,0.0,0.0,2.304626941680908,0.0,0.0,2.162710189819336,0.0,-0.40231311321258545,0.0,0.0,34.0,60.0,1.3543407917022705
ccrescentus,CCNA_00004,,dephospho-CoA kinase,1,6.398594934535208,0.67,0.64,-0.0555555555555555,0.0007069132304821,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.6124377250671387,0.5476526021957397,120.0,2.6674914360046387,-0.6693100333213806,42.0,198.0,115.0,142.0,85.0,77.0,0.0,0.0,0.0,198.0,3.431197166442871,2.9448232650756836,0.0,100.0,1.3511974811553955,5.138315677642822,0.0,0.0,4.47525691986084,128.0,167.0,101.0,4.698807239532471,0.0,78.0,2.407794713973999,192.0,0.818666934967041,0.0,1.0,0.0,0.0,0.0,0.0,1.8015493154525757,0.0,0.0,5.286158084869385,0.0,3.0790481567382812,0.0,0.0,186.0,189.0,-1.0727933645248413
ccrescentus,CCNA_00005,dnaQ,"DNA polymerase III, epsilon chain",1,6.572282542694008,0.6414565826330533,0.68,0.0625,0.0008770868842861,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.423026084899902,0.8861811757087708,72.0,2.764814853668213,-1.142911434173584,118.0,37.0,11.0,130.0,124.0,122.0,0.0,0.0,0.0,189.0,5.217366695404053,-0.6287674903869629,1.0,120.0,1.6010150909423828,1.8683618307113647,0.0,0.0,4.772596836090088,110.0,172.0,199.0,1.769890546798706,0.0,106.0,-1.2322090864181519,68.0,3.9155285358428955,0.0,1.0,0.0,0.0,0.0,0.0,1.2781546115875244,0.0,0.0,5.57436990737915,0.0,5.205594539642334,0.0,0.0,66.0,195.0,-0.10193966329097748
ccrescentus,CCNA_00006,,enoyl-CoA hydratase/isomerase,0,6.672032945461067,0.6742712294043093,0.61,0.1794871794871795,0.0010921537330979,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.215545177459717,5.2901411056518555,171.0,3.0413734912872314,0.6087009310722351,48.0,185.0,12.0,44.0,79.0,126.0,0.0,0.0,0.0,183.0,3.1867783069610596,-0.1083758994936943,0.0,188.0,-1.1062148809432983,6.130702495574951,0.0,0.0,6.212906837463379,152.0,65.0,39.0,1.1059883832931519,0.0,20.0,-1.0896046161651611,72.0,0.9035558104515076,0.0,1.0,0.0,0.0,0.0,0.0,-0.11088763922452927,0.0,0.0,1.4772748947143555,0.0,0.5358595848083496,0.0,0.0,187.0,162.0,7.349271297454834
ccrescentus,CCNA_00007,,SSU ribosomal protein S20P,1,5.6240175061873385,0.6557971014492754,0.67,-0.2121212121212121,0.0012607196416261,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.842650890350342,4.887483596801758,180.0,3.239758253097534,0.7315576672554016,153.0,17.0,182.0,147.0,29.0,58.0,0.0,0.0,0.0,88.0,8.293704986572266,1.4157432317733765,1.0,70.0,1.6377842426300049,3.152815341949463,0.0,0.0,4.121768474578857,169.0,114.0,74.0,6.124239921569824,0.0,60.0,0.5937615633010864,75.0,2.4036293029785156,0.0,0.0,0.0,0.0,0.0,0.0,6.807975769042969,0.0,0.0,4.509391784667969,0.0,4.191211223602295,0.0,0.0,15.0,70.0,3.319524049758911
ccrescentus,CCNA_00008,dnaA,chromosome replication initiator protein DnaA,1,7.295735072749282,0.6734555329260014,0.62,0.0,0.0015759613883894,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0209479331970215,1.7653741836547852,154.0,3.9029948711395264,2.763979196548462,30.0,166.0,40.0,112.0,169.0,28.0,0.0,1.0,0.0,25.0,4.152926445007324,1.139487624168396,1.0,165.0,1.458410620689392,3.9557242393493652,0.0,0.0,4.639317512512207,90.0,24.0,81.0,6.9722371101379395,0.0,43.0,6.541770935058594,25.0,1.0264126062393188,0.0,1.0,0.0,1.0,0.0,0.0,2.985973834991455,0.0,0.0,5.200070858001709,0.0,3.6606967449188232,0.0,0.0,136.0,144.0,3.5534121990203857
ccrescentus,CCNA_00009,alkB,alkylated DNA repair protein AlkB,0,6.432940092739179,0.6747181964573269,0.67,-0.0909090909090909,0.0018500201215504,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1930220127105713,4.274571895599365,52.0,3.788681983947754,3.901482582092285,51.0,189.0,49.0,46.0,54.0,73.0,0.0,0.0,0.0,53.0,2.4100117683410645,-1.4051265716552734,0.0,120.0,2.268535852432251,2.854893922805786,0.0,0.0,4.534371852874756,138.0,48.0,111.0,1.4909145832061768,0.0,77.0,0.5889442563056946,179.0,-0.5585499405860901,0.0,1.0,0.0,0.0,0.0,0.0,1.06641685962677,0.0,0.0,3.821462869644165,0.0,3.7437524795532227,0.0,0.0,51.0,121.0,5.027343273162842
ccrescentus,CCNA_00010,dnaK,chaperone protein DnaK,1,7.5480289699350145,0.6476793248945147,0.62,0.4210526315789473,0.0022538115311943,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.111130237579346,3.714049816131592,150.0,3.3310561180114746,0.07948097586631775,125.0,183.0,20.0,149.0,155.0,142.0,0.0,1.0,0.0,199.0,5.775856971740723,1.5391383171081543,1.0,83.0,1.1912600994110107,4.345731735229492,0.0,0.0,6.691811561584473,107.0,143.0,116.0,3.7572240829467773,0.0,25.0,6.904341220855713,142.0,6.722883224487305,0.0,1.0,0.0,1.0,0.0,0.0,5.223012924194336,0.0,0.0,3.773958921432495,0.0,5.550513744354248,0.0,0.0,141.0,168.0,0.6350259184837341
